                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.78289,                0.69126,                 1.2159,                  0.871,                0.84648,                0.91012,                0.70324,                0.88668,                0.61776,                 1.3271,               0.003928,               0.003928,               0.003928
                     95,                0.78604,                0.69722,                 1.2121,                0.86154,                0.85603,                0.91004,                 0.7046,                  0.885,                0.62157,                 1.3261,               0.003862,               0.003862,               0.003862
                     96,                0.78597,                0.68683,                 1.2143,                0.88927,                0.83211,                 0.9115,                0.70549,                0.88462,                0.61508,                 1.3266,               0.003796,               0.003796,               0.003796
                     97,                 0.7706,                0.68575,                 1.2049,                0.88141,                0.83893,                0.91118,                0.70624,                0.88274,                0.61166,                  1.327,                0.00373,                0.00373,                0.00373
                     98,                 0.7726,                0.67316,                 1.2053,                0.87908,                0.83734,                0.91046,                0.70661,                0.88403,                0.61316,                 1.3293,               0.003664,               0.003664,               0.003664
                     99,                0.77238,                0.67646,                 1.2079,                0.88623,                 0.8298,                0.90855,                0.70576,                0.88308,                 0.6165,                 1.3273,               0.003598,               0.003598,               0.003598
                    100,                0.78219,                0.68793,                 1.2106,                0.88103,                0.82998,                0.90812,                0.70479,                0.88356,                0.61763,                 1.3292,               0.003532,               0.003532,               0.003532
                    101,                0.77129,                0.66468,                 1.2015,                 0.8912,                 0.8246,                0.90746,                0.70593,                0.88622,                0.61861,                 1.3308,               0.003466,               0.003466,               0.003466
                    102,                 0.7691,                 0.6648,                  1.203,                0.88065,                0.83103,                0.90664,                0.70349,                0.88603,                0.61714,                 1.3317,                 0.0034,                 0.0034,                 0.0034
                    103,                0.76416,                0.66623,                 1.1996,                0.87341,                0.83626,                0.90597,                 0.7035,                0.88512,                0.61982,                 1.3332,               0.003334,               0.003334,               0.003334
                    104,                 0.7571,                 0.6557,                 1.1977,                0.86884,                0.84407,                0.90575,                0.70467,                0.88458,                0.62174,                 1.3354,               0.003268,               0.003268,               0.003268
                    105,                0.75902,                 0.6637,                 1.1986,                0.86726,                0.84351,                0.90658,                0.70632,                0.88598,                0.62321,                 1.3371,               0.003202,               0.003202,               0.003202
                    106,                0.76414,                0.65301,                 1.2024,                0.87422,                0.83367,                0.90568,                0.70521,                0.88702,                0.62522,                 1.3374,               0.003136,               0.003136,               0.003136
                    107,                 0.7481,                0.64532,                 1.1916,                0.86741,                0.83965,                 0.9052,                0.70423,                0.89048,                0.62348,                 1.3401,                0.00307,                0.00307,                0.00307
                    108,                0.74478,                0.64333,                  1.186,                0.86887,                0.83612,                0.90509,                0.70297,                0.88991,                0.62286,                 1.3397,               0.003004,               0.003004,               0.003004
                    109,                0.74682,                0.64638,                 1.1905,                0.88055,                0.83131,                0.90545,                0.70458,                0.88917,                0.62325,                 1.3405,               0.002938,               0.002938,               0.002938
                    110,                 0.7512,                0.64185,                 1.1896,                0.87903,                0.82899,                0.90595,                0.70542,                0.88779,                0.62114,                 1.3393,               0.002872,               0.002872,               0.002872
                    111,                0.75345,                0.64505,                  1.197,                0.87684,                0.83263,                0.90607,                0.70522,                0.88731,                0.61619,                 1.3395,               0.002806,               0.002806,               0.002806
                    112,                0.74342,                0.63235,                 1.1836,                0.87411,                0.83544,                0.90577,                0.70578,                0.88567,                0.61517,                 1.3385,                0.00274,                0.00274,                0.00274
                    113,                0.72827,                0.63343,                 1.1837,                0.87532,                0.83328,                0.90614,                0.70589,                 0.8839,                 0.6133,                 1.3371,               0.002674,               0.002674,               0.002674
                    114,                0.73838,                 0.6323,                  1.186,                0.86997,                0.84077,                0.90585,                0.70629,                0.88498,                0.61434,                 1.3381,               0.002608,               0.002608,               0.002608
                    115,                0.73651,                0.62377,                 1.1767,                0.86981,                0.84297,                 0.9059,                 0.7055,                0.88584,                0.61463,                 1.3379,               0.002542,               0.002542,               0.002542
                    116,                0.73922,                0.62151,                  1.181,                 0.8685,                0.84818,                0.90614,                0.70611,                0.88833,                0.61402,                   1.34,               0.002476,               0.002476,               0.002476
                    117,                0.73896,                0.61867,                 1.1831,                0.86383,                0.85086,                0.90632,                0.70606,                0.88858,                0.61389,                 1.3392,                0.00241,                0.00241,                0.00241
                    118,                0.73118,                0.61855,                 1.1805,                0.86246,                0.85328,                0.90701,                0.70749,                0.88607,                0.61515,                  1.336,               0.002344,               0.002344,               0.002344
                    119,                0.72355,                0.61121,                  1.175,                0.86392,                0.85167,                0.90697,                0.70698,                0.88529,                0.61515,                 1.3348,               0.002278,               0.002278,               0.002278
                    120,                0.72243,                0.60758,                 1.1713,                0.86761,                 0.8477,                 0.9068,                0.70733,                0.88479,                0.61397,                 1.3337,               0.002212,               0.002212,               0.002212
                    121,                0.71439,                0.60024,                 1.1738,                0.87432,                0.84212,                0.90665,                0.70642,                0.88505,                0.61422,                 1.3334,               0.002146,               0.002146,               0.002146
                    122,                0.72217,                0.60774,                 1.1709,                0.86959,                0.85022,                0.90699,                0.70582,                0.88548,                0.61466,                 1.3347,                0.00208,                0.00208,                0.00208
                    123,                0.72575,                0.61077,                 1.1722,                0.87413,                0.84659,                0.90715,                0.70559,                0.88736,                0.61527,                 1.3363,               0.002014,               0.002014,               0.002014
                    124,                0.71362,                0.60206,                 1.1701,                0.87155,                0.84863,                0.90674,                0.70599,                 0.8884,                0.61551,                 1.3371,               0.001948,               0.001948,               0.001948
                    125,                0.70877,                0.59216,                 1.1656,                0.87073,                 0.8495,                0.90647,                0.70679,                0.88875,                0.61699,                 1.3377,               0.001882,               0.001882,               0.001882
                    126,                 0.7135,                0.59128,                  1.167,                0.86817,                0.85061,                0.90607,                0.70555,                0.88783,                0.61673,                 1.3369,               0.001816,               0.001816,               0.001816
                    127,                0.70453,                0.59275,                 1.1621,                0.86678,                0.85132,                  0.906,                0.70623,                0.88704,                0.61723,                 1.3365,                0.00175,                0.00175,                0.00175
                    128,                0.70448,                 0.5897,                 1.1605,                0.86411,                0.85081,                0.90543,                0.70567,                0.88767,                0.61852,                 1.3376,               0.001684,               0.001684,               0.001684
                    129,                0.71187,                0.59315,                 1.1683,                0.86495,                0.84922,                0.90538,                0.70608,                0.88581,                0.61774,                 1.3367,               0.001618,               0.001618,               0.001618
                    130,                 0.6973,                0.57539,                 1.1618,                0.86804,                0.84592,                0.90485,                0.70561,                0.88636,                0.61738,                 1.3377,               0.001552,               0.001552,               0.001552
                    131,                0.70419,                0.58026,                  1.164,                0.86699,                0.84802,                0.90467,                0.70544,                0.88587,                0.61768,                 1.3374,               0.001486,               0.001486,               0.001486
